entity,raw_l2,pc1_score,residual_l2,residual_z
Vestries,253.29967,6.9225073,264.52148,7.363337
Apparentements,251.97313,-3.3765,253.42499,6.946247
Encapsulate,229.95729,-1.7227799,240.48044,6.459693
Gorgio,250.80621,-24.622639,237.57747,6.3505774
Nepouite,239.77336,-10.194004,233.48146,6.1966186
Remeet,231.22849,-10.1613865,230.95392,6.101614
Monopodes,228.94673,16.763096,229.18639,6.0351768
Hersall,222.0566,-0.5384682,228.45554,6.007706
Leoncito,228.70923,-18.458828,217.43896,5.59362
Invernesses,224.58496,-7.221043,215.95445,5.537821
Glossiphonia,223.20561,-6.9300346,215.4611,5.519277
Saccharuria,221.63936,-2.1670365,214.6273,5.4879365
Phlebostrepsis,203.2994,22.719566,209.54413,5.2968726
Ultralenient,206.96617,-8.310537,201.86465,5.0082197
Cainite,201.19028,14.708901,201.28758,4.986529
Subdichotomies,192.24475,-1.8081048,199.24857,4.9098873
Disamis,207.27083,-14.574869,196.55098,4.8084917
Manubaliste,199.2459,1.8889077,194.76382,4.741317
Skokiaan,188.98631,7.8437805,189.82556,4.5556993
Haveage,186.28464,-5.8146324,188.15376,4.492861
Thermopleion,194.80704,-6.252129,186.11867,4.4163666
Hamulous,189.01048,-11.246588,184.40584,4.3519855
Sortilegi,182.29494,17.609325,182.97975,4.2983823
Sempiternize,185.23055,15.055186,182.19556,4.268906
Aguglia,191.06607,-15.399954,181.94788,4.2595963
Opacate,187.90009,0.2937647,181.09494,4.2275367
Devitrify,185.28574,10.4361925,179.91338,4.1831245
Retromingent,180.54005,-6.7491817,177.20732,4.081411
Retrude,181.74028,2.5180395,174.90623,3.9949183
Guayroto,179.17583,-17.410192,174.29616,3.971987
Kalamian,185.08237,-15.608305,174.14154,3.9661756
Wagnerist,172.403,0.12075186,173.17249,3.929751
Angiosymphysis,180.17505,-5.0113025,171.59372,3.870409
Deguelin,180.64478,-8.629107,171.07271,3.8508255
Verminous,176.75853,-9.284516,169.15443,3.7787223
Pearmain,176.48134,-6.4296656,168.3867,3.749865
Redintegrator,170.45325,2.007895,166.82002,3.6909773
Reexecute,160.56503,-15.922949,165.36595,3.6363225
Warmmess,163.31529,5.4029827,161.82065,3.5030632
Diatesseron,166.60582,-5.6161947,161.75056,3.500429
Intensify,158.48793,-17.766298,159.83186,3.4283097
Underfelt,161.56854,6.599316,159.4216,3.4128888
Disseizor,169.28827,5.061233,159.31937,3.4090462
Ethmolachrymal,161.24677,-3.0900931,156.37875,3.2985156
Liquidogenic,157.76392,-7.506845,154.62996,3.2327826
Slimnesses,156.23553,-5.9624505,153.23524,3.1803586
Degreewise,154.39938,0.40528792,152.58339,3.155857
Youdendrift,153.15045,-3.0938532,152.33313,3.1464505
Squacco,163.82161,-7.267178,150.9844,3.095755
Predentata,156.4316,-5.2806077,150.60036,3.0813198
Pratiloma,154.69168,-10.030902,147.8168,2.9766927
Gaffsail,147.12909,1.9013393,147.17427,2.9525416
Mothless,159.56696,-7.767242,146.2591,2.9181423
Eclaircise,152.08182,11.723146,145.49532,2.8894336
Jarsful,143.8609,8.428253,145.25853,2.8805335
Recodifies,153.41112,1.820236,145.18434,2.877745
Psammitic,147.39001,0.4034768,144.56908,2.8546185
Protaxial,146.58357,-3.356685,144.05272,2.83521
Unhabituate,156.18921,-7.216842,144.00934,2.8335795
Plagianthus,156.10582,-21.353985,142.77751,2.7872782
Numnah,147.45042,4.152485,142.75818,2.7865515
Barrenest,146.71619,5.5042944,141.94315,2.7559164
Siluroidei,145.8442,-7.1926355,141.69466,2.746576
Prorectorate,145.8153,-4.417797,141.30234,2.73183
Bartramian,145.16003,-5.339129,140.89961,2.7166924
Crampoons,133.74127,6.5148644,140.08043,2.6859014
Prosuffrage,141.45549,1.9701765,139.30388,2.6567128
Bimensal,142.48128,-16.109173,138.37764,2.6218977
Cnidophobia,134.862,1.3355244,138.37527,2.6218088
Gombroons,147.05998,-10.565369,138.31786,2.6196504
Rheumatismal,148.18591,-9.68873,137.15363,2.5758898
Semiorbiculate,145.77425,-11.0434475,136.52597,2.5522978
Phlebalgia,137.72084,5.5472603,136.49808,2.5512495
Amebae,139.69194,-4.326998,136.39037,2.547201
Notanduda,138.6446,-4.274523,136.321,2.5445936
Caickle,136.22325,-2.6265342,135.92601,2.5297468
Ambisinister,137.8969,-2.142355,135.87355,2.527775
Topman,142.49211,-13.903259,135.7678,2.5238004
Proctorize,138.80498,-4.939052,135.6295,2.518602
Boondocker,140.35934,-6.9175444,135.5449,2.515422
Extenuative,139.72269,6.4100347,135.46397,2.5123801
Signlike,133.02681,10.873071,135.25491,2.5045218
Retrample,134.16039,-2.5118206,135.04022,2.4964523
Raunge,137.811,0.94146615,134.12141,2.4619164
Fretsaws,145.8551,-1.5629122,134.05359,2.459367
Kalsomine,143.9039,-7.945133,133.66826,2.4448833
Subsimian,136.53795,-5.984817,133.04193,2.4213414
Greengill,140.89366,-3.2778788,132.87437,2.4150434
Hydrophyton,130.26492,17.179518,132.8064,2.4124882
Semiterete,139.84088,-5.508845,132.76613,2.4109745
Giantish,141.39354,-0.4161436,132.44623,2.3989503
Nonecliptic,135.03375,0.29770255,132.38591,2.3966832
Daughtership,132.95692,5.117247,132.34552,2.395165
Petrotympanic,139.75836,-10.830033,132.2065,2.3899393
Missionaryship,139.44485,0.6704024,132.15053,2.3878357
Excogitates,139.00087,2.793147,131.33534,2.357195
Scorpios,141.44183,-6.6744695,130.6095,2.3299122
Pelargi,138.26665,-12.487529,130.60919,2.3299005
Shuvra,144.80171,-11.212241,130.60483,2.3297365
Alliterates,138.36382,-6.8992624,130.34846,2.3201005
Pelure,134.57782,-1.8636118,129.6919,2.2954216
Lactigenous,134.16489,-2.5102825,129.12761,2.2742114
Myophysical,126.83302,5.906619,128.8424,2.2634914
Isotach,132.87158,-2.4994106,128.76132,2.2604437
Subvicarship,134.6379,-8.903635,128.37216,2.245816
Canister,341.57693,-316.24255,128.20761,2.239631
Prepositorial,132.16602,3.895562,127.61122,2.217214
Intercivic,127.85646,0.030181885,127.54982,2.2149062
Bullyrags,136.74733,-4.6381974,127.14224,2.1995864
Cloudage,136.95222,0.8778299,127.02276,2.1950953
Lavinia,131.07121,8.8673315,127.01903,2.194955
Morencite,127.61893,7.327787,126.83001,2.1878502
Homatomic,130.18932,-4.3311768,126.354515,2.1699777
Savagest,134.62318,-3.5675817,126.296265,2.1677883
Tegular,127.06799,-3.1122084,126.28727,2.1674502
Muzhik,133.00117,-11.914228,125.4897,2.1374714
Decastich,128.84764,0.12505439,125.42568,2.135065
Limnoria,138.85428,-7.7117424,124.712425,2.1082556
Hadjees,133.13327,-8.565454,124.46761,2.0990536
Cuinage,134.6795,-1.1966615,124.30474,2.0929317
Enstate,134.59613,2.406562,124.17276,2.0879707
Deiphobus,121.93825,4.9533887,124.07227,2.0841937
Preformulate,127.25905,-13.178579,123.42121,2.059722
Largos,126.19313,-9.599788,123.30577,2.0553827
Slavicist,122.93394,5.743819,123.0404,2.045408
Wheretill,124.50007,3.4176178,123.001884,2.0439606
Systemizer,127.5038,-6.406375,122.40887,2.0216703
Heiressdom,126.51515,10.214118,121.89759,2.0024529
Reshower,121.268776,-0.9812707,121.715,1.9955895
Instantiate,404.39417,-383.81818,121.66649,1.9937662
Influenzic,124.95359,-7.4163995,121.52558,1.9884698
Pluriparity,127.85707,1.045089,121.46523,1.9862015
Anomurous,127.44059,-5.9313736,120.9948,1.968519
Bandurria,127.53682,-8.183691,120.96752,1.9674938
Auriphrygia,128.88626,-8.464724,120.887764,1.9644958
Brontolith,128.79875,-14.585547,120.49634,1.9497831
Tinpot,116.12329,11.233472,120.12119,1.9356823
Galopade,126.984634,-2.5157738,119.98283,1.9304814
Semiditone,124.197014,-0.70545036,119.900444,1.9273849
Proseman,118.38841,10.955865,119.88293,1.9267265
Jigaboos,120.32518,-4.642353,119.32776,1.905859
Thallodal,123.75465,-1.7272778,118.51307,1.8752369
Outdoor,421.93124,408.89532,117.69193,1.8443723
Campanist,119.67936,12.415478,117.52362,1.8380458
Layout,200.7946,171.18533,117.01517,1.8189343
Allosyndetic,118.46011,4.5865273,116.95018,1.8164916
Aporrhoea,125.45859,-11.979394,116.871994,1.8135529
Frankfold,112.79468,2.236652,116.551155,1.8014933
Craisey,126.282845,-2.635428,116.16775,1.787082
Melospiza,126.10518,-2.9203262,115.90604,1.7772448
Dacoitage,123.75494,3.3796856,115.83959,1.7747474
Excerptive,118.97645,0.22585978,115.685905,1.7689706
Dualin,120.5956,6.2991505,115.62751,1.7667757
Dialog,220.9476,193.09795,115.62365,1.7666306
Popode,119.97174,4.1037683,115.620705,1.7665199
Stravage,124.41823,-1.1575552,115.44528,1.7599262
Cinclus,121.898506,-7.1218586,115.366394,1.756961
Myonema,122.99412,-2.4584002,114.98036,1.742451
Harbingership,116.44622,8.105895,114.97805,1.742364
Aquinist,113.962204,2.3041072,114.82736,1.7367
Taeniacide,125.19543,-9.9017935,114.767006,1.7344315
Goatees,109.823204,4.429793,114.20396,1.7132678
Lemovices,119.82444,-3.963073,114.10975,1.7097268
Wizard,934.14404,-924.96173,114.07004,1.7082341
Agastric,121.85509,-5.9856677,113.89439,1.7016318
Eclipsareon,114.43529,2.856616,113.8619,1.7004107
Kiteflier,116.67906,0.9899975,113.84139,1.6996399
Counter,525.2115,517.3873,113.79578,1.6979253
Betaken,121.94527,5.616294,113.78108,1.697373
Oosporange,118.76886,2.0317569,113.77522,1.6971527
Isotrimorphous,119.07287,-7.2318077,113.641396,1.6921225
Postcavae,121.21369,-13.596733,113.280495,1.6785572
Eupnoea,125.00034,2.0822618,113.2506,1.6774336
Paragraphs,101.86229,6.7325096,113.16998,1.6744033
Moldwarp,119.58183,-5.7100935,113.16315,1.6741463
Petasuses,111.49148,-2.3929992,113.02321,1.6688864
Worriecow,116.25267,2.6304965,112.91198,1.6647055
Intertown,113.119286,0.34883082,112.88564,1.6637156
Stepony,116.921936,10.108862,112.839455,1.6619796
Calotypist,119.9742,1.6156353,112.821884,1.661319
Aftermost,111.402916,1.0672063,112.67385,1.6557548
Saturnine,119.41463,1.8874199,112.57867,1.6521771
